days,cp,moneyness,t0,annual,ndiv,exdate_inside,reference,scalar_bp,matched_bp,schedule_bp
30,call,0.9,0.2,0.02,0,false,0.40822319619677877,32.84853270929204,0.0058565161262623825,0.0058565161262623825
30,call,0.9,0.2,0.04,0,false,0.40822319619677877,64.36009103575928,0.0058565161262623825,0.0058565161262623825
30,call,1.0,0.02,0.02,1,true,3.1076459818253674,148.28193195737245,7.022761428934188,0.03747383061347859
30,call,1.0,0.02,0.04,1,true,2.8739497539782,281.6676899329106,33.05629768179685,0.5007715863729949
30,call,1.0,0.1,0.02,0,false,3.363112165395801,76.09640517234956,0.01318071949872646,0.01318071949872646
30,call,1.0,0.1,0.04,0,false,3.363112165395801,149.597425050356,0.01318071949872646,0.01318071949872646
30,call,1.0,0.2,0.02,0,false,3.363112165395801,76.09640517234956,0.01318071949872646,0.01318071949872646
30,call,1.0,0.2,0.04,0,false,3.363112165395801,149.597425050356,0.01318071949872646,0.01318071949872646
30,call,1.1,0.02,0.02,1,true,9.423091660723761,405.97816528623866,16.58774692418528,0.8125104143771538
30,call,1.1,0.02,0.04,1,true,9.297646643576421,360.8927553320135,132.53557553725568,1.0433178282328632
30,call,1.1,0.1,0.02,0,false,9.793489007212571,287.57548622537655,0.008316489660846043,0.008316489660846043
30,call,1.1,0.1,0.04,0,false,9.793489007212571,553.6631542157301,0.008316489660846043,0.008316489660846043
30,call,1.1,0.2,0.02,0,false,9.793489007212571,287.57548622537655,0.008316489660846043,0.008316489660846043
30,call,1.1,0.2,0.04,0,false,9.793489007212571,553.6631542157301,0.008316489660846043,0.008316489660846043
30,put,0.9,0.02,0.02,1,true,11.751303325980102,769.652937339003,301.80573227393893,0.4910748958578875
30,put,0.9,0.02,0.04,1,true,12.214477333402069,1668.497724958678,351.40965640783537,0.48784098043845703
30,put,0.9,0.1,0.02,0,false,11.300167220067229,134.12103483524115,0.6136416154156481,0.6136416154156481
30,put,0.9,0.1,0.04,0,false,11.300167220067229,301.34029462701955,0.6136416154156481,0.6136416154156481
30,put,0.9,0.2,0.02,0,false,11.300167220067229,134.12103483524115,0.6136416154156481,0.6136416154156481
30,put,0.9,0.2,0.04,0,false,11.300167220067229,301.34029462701955,0.6136416154156481,0.6136416154156481
30,put,1.0,0.02,0.02,1,true,3.3026828282226113,157.95944020953732,24.54444524839,0.1545417564465117
30,put,1.0,0.02,0.04,1,true,3.5615654932250407,326.1920691533138,30.492439035615323,0.12622977659959528
30,put,1.0,0.1,0.02,0,false,3.0564931822921797,58.29974782874352,0.17084847466720687,0.17084847466720687
30,put,1.0,0.1,0.04,0,false,3.0564931822921797,119.37189259231575,0.17084847466720687,0.17084847466720687
30,put,1.0,0.2,0.02,0,false,3.0564931822921797,58.29974782874352,0.17084847466720687,0.17084847466720687
30,put,1.0,0.2,0.04,0,false,3.0564931822921797,119.37189259231575,0.17084847466720687,0.17084847466720687
30,put,1.1,0.02,0.02,1,true,0.46212423890958615,72.57428000663015,7.189268065396871,0.07626090393219068
30,put,1.1,0.02,0.04,1,true,0.5246738895109823,145.2852146803293,11.039759634663788,0.037209522911062276
30,put,1.1,0.1,0.02,0,false,0.4059451738949067,31.795393445132756,0.1877866794881514,0.1877866794881514
30,put,1.1,0.1,0.04,0,false,0.4059451738949067,64.80224457651249,0.1877866794881514,0.1877866794881514
30,put,1.1,0.2,0.02,0,false,0.4059451738949067,31.795393445132756,0.1877866794881514,0.1877866794881514
30,put,1.1,0.2,0.04,0,false,0.4059451738949067,64.80224457651249,0.1877866794881514,0.1877866794881514
60,call,0.9,0.02,0.02,1,true,1.1646298519226905,28.707623988605036,1.6949266874876365,0.021262159961201406
60,call,0.9,0.02,0.04,1,true,1.0717002514652927,57.69143038530333,1.016173582277389,0.03235265509841884
60,call,0.9,0.1,0.02,1,true,1.1730497406911415,21.148194502084372,8.970111041463953,0.020073892792077698
60,call,0.9,0.1,0.04,1,true,1.0937992621319235,36.954787574881585,19.19405179167366,0.12568875921950556
60,call,0.9,0.2,0.02,0,false,1.2635247259624878,57.5845862922306,0.009181170959950639,0.009181170959950639
60,call,0.9,0.2,0.04,0,false,1.2635247259624878,112.1539169890167,0.009181170959950639,0.009181170959950639
60,call,1.0,0.02,0.02,1,true,4.581424210343079,54.9964582567063,1.6861000667592694,0.015974621041910664
60,call,1.0,0.02,0.04,1,true,4.324760319578567,110.40492446976121,14.705505495551433,0.05906436605589444
60,call,1.0,0.1,0.02,1,true,4.610870741363219,36.65404224281735,19.504570739672257,0.29458384713917946
60,call,1.0,0.1,0.04,1,true,4.446498231910396,34.354426170614786,60.48612476926661,0.796163187892563
60,call,1.0,0.2,0.02,0,false,4.846907457165109,110.27087262618709,0.013151333114554636,0.013151333114554636
60,call,1.0,0.2,0.04,0,false,4.846907457165109,214.95970827045176,0.013151333114554636,0.013151333114554636
