case,cp,S,K,r,q,sigma,T,american,european,diff,diff_bp
q=0 call,call,100.0,100.0,0.0,0.0,0.15,0.2493150684931507,2.9872672925863393,2.9872673308551683,-3.8268828994603155e-8,1.922495669439805e-5
q=0 call,call,100.0,100.0,0.02,0.0,0.15,0.2493150684931507,3.235130823183103,3.2351308610625438,-3.787944091726558e-8,1.9119167309140935e-5
q=0 call,call,100.0,100.0,0.05,0.0,0.15,0.2493150684931507,3.6291878469300483,3.629187883172875,-3.624282696179648e-8,1.857652637835702e-5
q=0 call,call,100.0,100.0,0.08,0.0,0.15,0.2493150684931507,4.049361000264897,4.0493610336805475,-3.341565069092667e-8,1.7567114887659525e-5
q=0 call,call,100.0,100.0,0.0,0.0,0.3,0.2493150684931507,5.970348675007195,5.970348751257191,-7.624999653899067e-8,3.838606596937425e-5
q=0 call,call,100.0,100.0,0.02,0.0,0.3,0.2493150684931507,6.207488334657048,6.207488410559634,-7.590258555012497e-8,3.832778505311834e-5
q=0 call,call,100.0,100.0,0.05,0.0,0.3,0.2493150684931507,6.573281075785772,6.573281150664094,-7.487832220931523e-8,3.806279020165131e-5
q=0 call,call,100.0,100.0,0.08,0.0,0.3,0.2493150684931507,6.951003979089716,6.951004052300782,-7.321106565427726e-8,3.7557041219181036e-5
q=0 call,call,100.0,100.0,0.0,0.0,0.6,0.2493150684931507,11.907315475457931,11.907315625640912,-1.5018298071822755e-7,7.624455201399254e-5
q=0 call,call,100.0,100.0,0.02,0.0,0.6,0.2493150684931507,12.128030005943758,12.12803015568121,-1.4973745088298074e-7,7.621868433775248e-5
q=0 call,call,100.0,100.0,0.05,0.0,0.6,0.2493150684931507,12.46314422513527,12.463144373936643,-1.4880137300110619e-7,7.60812954355648e-5
q=0 call,call,100.0,100.0,0.08,0.0,0.6,0.2493150684931507,12.803047886236513,12.803048033789928,-1.475534148198676e-7,7.582822032048804e-5
q=0 call,call,100.0,100.0,0.0,0.0,0.15,1.0,5.978528734225838,5.978528810578943,-7.635310517173366e-8,1.9192789109438798e-5
q=0 call,call,100.0,100.0,0.02,0.0,0.15,1.0,6.961841571259647,6.9618416445541556,-7.329450824045125e-8,1.8775268782000755e-5
q=0 call,call,100.0,100.0,0.05,0.0,0.15,1.0,8.591658251193943,8.591658312089145,-6.089520176999486e-8,1.6591257146678053e-5
q=0 call,call,100.0,100.0,0.08,0.0,0.15,1.0,10.389610594772563,10.389610636349929,-4.157736555043812e-8,1.2540257688052884e-5
q=0 call,call,100.0,100.0,0.0,0.0,0.3,1.0,11.923538323661576,11.923538474048499,-1.5038692247060226e-7,3.812289027272703e-5
q=0 call,call,100.0,100.0,0.02,0.0,0.3,1.0,12.821581244969773,12.82158139269142,-1.477216482470567e-7,3.790774369202837e-5
q=0 call,call,100.0,100.0,0.05,0.0,0.3,1.0,14.231254646281773,14.231254785985826,-1.3970405277063946e-7,3.681916896960053e-5
q=0 call,call,100.0,100.0,0.08,0.0,0.3,1.0,15.711312420610573,15.711312547892973,-1.2728239973114341e-7,3.4798254712078985e-5
q=0 call,call,100.0,100.0,0.0,0.0,0.6,1.0,23.582284155044405,23.582284437790527,-2.8274612162704216e-7,7.413611818868084e-5
q=0 call,call,100.0,100.0,0.02,0.0,0.6,1.0,24.351455604956698,24.35145588433548,-2.793787814425741e-7,7.403052413072604e-5
q=0 call,call,100.0,100.0,0.05,0.0,0.6,1.0,25.5232053932111,25.523205665609503,-2.7239840250103953e-7,7.348573988000563e-5
q=0 call,call,100.0,100.0,0.08,0.0,0.6,1.0,26.715088929742382,26.71508919296491,-2.6322252821842085e-7,7.247503215100968e-5
